	nonsynonymous-variant-count
ACH-000361	103
ACH-000138	117
ACH-000082	125
ACH-000035	129
ACH-000139	142
ACH-000052	143
ACH-000102	144
ACH-000092	150
ACH-000147	151
ACH-000042	152
ACH-000161	153
ACH-000067	159
ACH-000115	163
ACH-000107	164
ACH-000040	165
ACH-000244	166
ACH-000149	168
ACH-000329	170
ACH-000242	172
ACH-000188	173
ACH-000145	174
ACH-000335	174
ACH-000114	174
ACH-000078	176
ACH-000688	177
ACH-000098	177
ACH-000249	178
ACH-000121	178
ACH-000428	178
ACH-000099	179
ACH-000212	182
ACH-000103	184
ACH-000403	184
ACH-000129	185
ACH-000094	187
ACH-000174	188
ACH-000433	190
ACH-000176	190
ACH-000772	190
ACH-000142	191
ACH-000117	191
ACH-000192	192
ACH-000291	193
ACH-000569	193
ACH-000187	196
ACH-000254	196
ACH-000288	198
ACH-000012	202
ACH-000535	202
ACH-000201	203
ACH-000148	205
ACH-000023	207
ACH-000055	207
ACH-000087	208
ACH-000359	208
ACH-000111	208
ACH-001016	212
ACH-000341	212
ACH-000457	212
ACH-000349	215
ACH-000857	215
ACH-000001	215
ACH-000211	216
ACH-000555	216
ACH-000171	217
ACH-000181	218
ACH-000191	218
ACH-000320	218
ACH-000484	221
ACH-000235	222
ACH-000571	222
ACH-000277	224
ACH-000704	224
ACH-000250	226
ACH-000100	228
ACH-000200	228
ACH-000062	229
ACH-000384	229
ACH-000392	229
ACH-001089	232
ACH-000259	233
ACH-000437	233
ACH-000264	233
ACH-001023	234
ACH-000243	234
ACH-000396	234
ACH-001126	235
ACH-000383	235
ACH-000469	236
ACH-000348	236
ACH-000210	237
ACH-000504	244
ACH-000008	247
ACH-000311	247
ACH-000319	248
ACH-000236	248
ACH-000625	249
ACH-000231	250
ACH-000483	250
ACH-000257	251
ACH-000047	252
ACH-000330	252
ACH-000270	252
ACH-000719	253
ACH-001090	253
ACH-000689	255
ACH-000189	256
ACH-000322	256
ACH-000668	257
ACH-000258	257
ACH-000343	257
ACH-000443	260
ACH-000159	260
ACH-000391	260
ACH-000354	261
ACH-000544	261
ACH-000581	263
ACH-000109	264
ACH-000716	265
