	case	nearest neighbor	sensitive therapies	n
0	101	U118MG_CENTRAL_NERVOUS_SYSTEM	Rucaparib, Fludarabine	2.0
1	102	A375_SKIN	AS605240, Pilaralisib, LIMK1 inhibitor BMS4, Refametinib, CI-1040, SB590885, CHIR-99021, (5Z)-7-Oxozeaenol, RAF_9304, Refametinib, PLX-4720, PD0325901, Dabrafenib, ERK_2440	14.0
2	105	CAL29_URINARY_TRACT	AZD8835, PI3Ka_4409, Alpelisib, Taselisib	4.0
3	112	A549_LUNG	Tanespimycin, BPTES	2.0
4	115	CL40_LARGE_INTESTINE		0.0
5	118	ASPC1_PANCREAS		0.0
6	119	A375_SKIN	AS605240, Pilaralisib, LIMK1 inhibitor BMS4, Refametinib, CI-1040, SB590885, CHIR-99021, (5Z)-7-Oxozeaenol, RAF_9304, Refametinib, PLX-4720, PD0325901, Dabrafenib, ERK_2440	14.0
7	120	SW837_LARGE_INTESTINE		0.0
8	121	VMCUB1_URINARY_TRACT	TW 37	1.0
9	122	MHHNB11_AUTONOMIC_GANGLIA	CX-5461	1.0
10	123	DMS273_LUNG	SB52334, GSK690693, Afuresertib, Ipatasertib	4.0
11	127	NCIH1341_LUNG	TWS119, GW441756, AZD6094, SN-38, Navitoclax	5.0
12	132	SW837_LARGE_INTESTINE		0.0
13	135	SF268_CENTRAL_NERVOUS_SYSTEM	NSC-207895	1.0
14	140	SCC25_UPPER_AERODIGESTIVE_TRACT	Bicalutamide, IAP_7638	2.0
15	141	ISTMES1_PLEURA	AZD1332	1.0
16	15	MHHNB11_AUTONOMIC_GANGLIA	CX-5461	1.0
17	152	G292CLONEA141B1_BONE	Bicalutamide, Midostaurin, CHIR-99021, PF-562271, Tretinoin, CCT007093, PD173074, AZD4547	8.0
18	155	IM95_STOMACH	AKT inhibitor VIII, JNJ38877605, A-83-01, AZD8835, Crizotinib	5.0
19	156	MHHNB11_AUTONOMIC_GANGLIA	CX-5461	1.0
20	157	A204_SOFT_TISSUE	Ponatinib, Pazopanib, TL-2-105, Cabozantinib, Quizartinib, Linifanib, Masitinib, Tivozanib, Motesanib, IAP_7638, MCT4_1422, RAF_9304, IAP_5620, AZD5582, Acetalax, Cediranib	16.0
21	162	SKHEP1_LIVER	SN-38, AGI-5198	2.0
22	163	SKHEP1_LIVER	SN-38, AGI-5198	2.0
23	19	CL40_LARGE_INTESTINE		0.0
24	2	SKHEP1_LIVER	SN-38, AGI-5198	2.0
25	20	CL40_LARGE_INTESTINE		0.0
26	22	MHHNB11_AUTONOMIC_GANGLIA	CX-5461	1.0
27	23	SKHEP1_LIVER	SN-38, AGI-5198	2.0
28	26	T24_URINARY_TRACT		0.0
29	28	SKHEP1_LIVER	SN-38, AGI-5198	2.0
30	30	SKHEP1_LIVER	SN-38, AGI-5198	2.0
31	33	CFPAC1_PANCREAS	FMK	1.0
32	34	A375_SKIN	AS605240, Pilaralisib, LIMK1 inhibitor BMS4, Refametinib, CI-1040, SB590885, CHIR-99021, (5Z)-7-Oxozeaenol, RAF_9304, Refametinib, PLX-4720, PD0325901, Dabrafenib, ERK_2440	14.0
33	39	CL40_LARGE_INTESTINE		0.0
