model-id	jaccard-almanac-genes	jaccard-almanac-feature-types	jaccard-almanac-features	jaccard-cgc-genes	jaccard-cgc-feature-types	compatibility	nonsynonymous-variant-count	pca-almanac-genes	pca-cgc-genes	multi-pass-sort_fda-cgc	snf_fda-cgc-genes	snf_cgc	snf_fda-cgc	snf_almanac	somatic-tree
jaccard-almanac-genes	1.0	0.1026	0.4346	0.0001	0.0039	0.0041	0.9117	0.0198	0.0789	0.0	0.0	0.0	0.0	0.0	0.0
jaccard-almanac-feature-types	0.1026	1.0	0.0743	0.0	0.0005	0.0001	0.633	0.1705	0.2496	0.0	0.0	0.0	0.0	0.0	0.0
jaccard-almanac-features	0.4346	0.0743	1.0	0.0323	0.123	0.0042	0.5647	0.0193	0.04	0.0	0.0	0.0027	0.0	0.001	0.0
jaccard-cgc-genes	0.0001	0.0	0.0323	1.0	0.0089	0.5763	0.001	0.0	0.0	0.0051	0.0129	0.1488	0.0021	0.5546	0.011
jaccard-cgc-feature-types	0.0039	0.0005	0.123	0.0089	1.0	0.8934	0.0057	0.0001	0.0	0.0001	0.0006	0.006	0.0	0.1556	0.0007
compatibility	0.0041	0.0001	0.0042	0.5763	0.8934	1.0	0.0365	0.0	0.0001	0.0	0.0018	0.1248	0.0002	0.1902	0.002
nonsynonymous-variant-count	0.9117	0.633	0.5647	0.001	0.0057	0.0365	1.0	0.1353	0.0705	0.0	0.0	0.0	0.0	0.0007	0.0
pca-almanac-genes	0.0198	0.1705	0.0193	0.0	0.0001	0.0	0.1353	1.0	0.7816	0.0	0.0	0.0	0.0	0.0	0.0
pca-cgc-genes	0.0789	0.2496	0.04	0.0	0.0	0.0001	0.0705	0.7816	1.0	0.0	0.0	0.0	0.0	0.0	0.0
multi-pass-sort_fda-cgc	0.0	0.0	0.0	0.0051	0.0001	0.0	0.0	0.0	0.0	1.0	0.125	0.0525	0.415	0.0082	0.4397
snf_fda-cgc-genes	0.0	0.0	0.0	0.0129	0.0006	0.0018	0.0	0.0	0.0	0.125	1.0	0.1764	0.2687	0.0527	0.5865
snf_cgc	0.0	0.0	0.0027	0.1488	0.006	0.1248	0.0	0.0	0.0	0.0525	0.1764	1.0	0.011	0.6072	0.1419
snf_fda-cgc	0.0	0.0	0.0	0.0021	0.0	0.0002	0.0	0.0	0.0	0.415	0.2687	0.011	1.0	0.006	0.9939
snf_almanac	0.0	0.0	0.001	0.5546	0.1556	0.1902	0.0007	0.0	0.0	0.0082	0.0527	0.6072	0.006	1.0	0.0348
somatic-tree	0.0	0.0	0.0	0.011	0.0007	0.002	0.0	0.0	0.0	0.4397	0.5865	0.1419	0.9939	0.0348	1.0
