reference	citation	year	month	day	date type	note	evidence	evidence note
1	"Bahrami, A., et al. C-Met as a potential target for the treatment of gastrointestinal cancer: Current status and future perspectives. Journal of cellular physiology 232, 2657-2673 (2017)."	2017	4	10	epub date		Clinical trial	"""The main aim of current review is to give an overview on the role of c_Met/HGF pathway in gastrointestinal cancer, in preclinical and clinical trials."" This is a review that I don't have access to."
2	"Dickson, M.A. Molecular pathways: CDK4 inhibitors for cancer therapy. Clinical cancer research : an official journal of the American Association for Cancer Research 20, 3379-3383 (2014)."	2014	5	2	epub date		Clinical trial	"""Three oral selective CDK4 inhibitors have entered clinical trials: palbociclib (PD0332991), LEE011, and LY2835219. """
3	"Schwaederle, M., et al. VEGF-A Expression Correlates with TP53 Mutations in Non-Small Cell Lung Cancer: Implications for Antiangiogenesis Therapy. Cancer research 75, 1187-1190 (2015)."	2015	2	11	epub date		Inferential	"This is the VEGF for TP53 paper, done by authors of the study. This finding is based on a multiple regression analysis of RNAseq data, may be inferential or clinical evidence, inclined to say inferential since it is inferred from mathematical modeling."
4	"Wood, K., Hensing, T., Malik, R. & Salgia, R. Prognostic and Predictive Value in KRAS in Non-Small-Cell Lung Cancer: A Review. JAMA Oncol 2, 805-812 (2016)."	2016	6	1	pub date		Clinical trial	"""The KRAS oncogenic driver mutation is noted in 15% to 25% of patients with NSCLC. While there has been limited success in inhibiting the protein directly, phase 2 and phase 3 clinical trials have demonstrated success in inhibiting downstream effectors, specifically MEK1 and/or MEK2 with selumetinib and trametinib (albeit with poor tolerability). Current clinical trials are evaluating inhibiting downstream effector pathways for improved efficacy."""
5	"Wheler, J.J., et al. TP53 Alterations Correlate with Response to VEGF/VEGFR Inhibitors: Implications for Targeted Therapeutics. Molecular cancer therapeutics 15, 2475-2485 (2016)."	2016	7	27	epub date		Clinical trial	"More evidence of VEGF and TP53, paper from author. Prospectively tested. "
6	"Koehler, K., Liebner, D. & Chen, J.L. TP53 mutational status is predictive of pazopanib response in advanced sarcomas. Annals of oncology : official journal of the European Society for Medical Oncology / ESMO 27, 539-543 (2016)."	2016	12	8	epub date		Clinical evidence	Retrospectively analysed patient data
7	"Richard, S., et al. Pertuzumab and trastuzumab: the rationale way to synergy. Anais da Academia Brasileira de Ciencias 88 Suppl 1, 565-577 (2016)."	2016	4	11	epub date		Clinical evidence	"Review, ""This paper synthetises preclinical and clinical data on pertuzumab and highlights the mechanisms underlying the synergistic activity of the combination pertuzumab-trastuzumab which are essentially due to their complementary mode of action."""
8	"Fuentes, G., Scaltriti, M., Baselga, J. & Verma, C.S. Synergy between trastuzumab and pertuzumab for human epidermal growth factor 2 (Her2) from colocalization: an in silico based mechanism. Breast cancer research : BCR 13, R54 (2011)."	2011	5	22	pub date		Inferential	Evidence for synergy comes from modeling
9	"Esteva, F.J. & Pusztai, L. Optimizing outcomes in HER2-positive breast cancer: the molecular rationale. Oncology 19, 5-16 (2005)."	2005	11	1	pub date		Clinical evidence	This is a study that describes the use of HER2 inhibitors for HER2 positive breast cancers but notes that these strategies are standard of care without proper evidence. I'll leave this as clinical evidence but am conflicted on the category.
10	"Hainsworth, J.D., et al. Targeted Therapy for Advanced Solid Tumors on the Basis of Molecular Profiles: Results From MyPathway, an Open-Label, Phase IIa Multiple Basket Study. Journal of clinical oncology : official journal of the American Society of Clinical Oncology 36, 536-542 (2018)."	2018	1	10	epub date		Clinical trial	Prospective clinical trial
11	"Prahallad, A., et al. Unresponsiveness of colon cancer to BRAF(V600E) inhibition through feedback activation of EGFR. Nature 483, 100-103 (2012)."	2012	1	26	pub date		Preclinical	"Looked at cell lines, this was almost certainly a motivation for the Hyman paper for combo vemurafenib for BRAF mutant colon/colorectal cancer."
12	"Hong, D.S., et al. Phase IB Study of Vemurafenib in Combination with Irinotecan and Cetuximab in Patients with Metastatic Colorectal Cancer with BRAFV600E Mutation. Cancer discovery 6, 1352-1365 (2016)."	2016	10	11	epub date		Clinical trial	Trial that tested vemurafenib + irinotecan + cetuximab 
13	"Yang, H., et al. Antitumor activity of BRAF inhibitor vemurafenib in preclinical models of BRAF-mutant colorectal cancer. Cancer research 72, 779-789 (2012)."	2012	12	16	epub date		Preclinical	Tested vemurafenib + combos may be more effective for V600 mutant CRC cell lines.
14	"Tiacci, E., et al. Targeting Mutant BRAF in Relapsed or Refractory Hairy-Cell Leukemia. The New England journal of medicine 373, 1733-1747 (2015)."	2015	10	29	pub date		Clinical trial	Clinical trial testing vemurafenib for V600E mutant hairy-cell leukemia
15	"Karoulia, Z., Gavathiotis, E. & Poulikakos, P.I. New perspectives for targeting RAF kinase in human cancer. Nature reviews. Cancer 17, 676-691 (2017)."	2017	10	6	epub date		Clinical evidence	"This is a review of the biology of RAF inhibition mostly, will need to categorize based on evidence provided in the study. [Update] the review mostly focuses on the molecular mechanisms of sensitivity and resistances; however, they note several times that evidence for BRAF V600 RAF inhibition is grounded in both preclinical and clinical data. "
16	"Matsuki, M., et al. Lenvatinib inhibits angiogenesis and tumor fibroblast growth factor signaling pathways in human hepatocellular carcinoma models. Cancer medicine 7, 2641-2653 (2018)."	2018	5	7	epub date		Preclinical	Using preclinical HCC models to look at Lenvatinib
17	"Tohyama, O., et al. Antitumor activity of lenvatinib (e7080): an angiogenesis inhibitor that targets multiple receptor tyrosine kinases in preclinical human thyroid cancer models. J Thyroid Res 2014, 638747 (2014)."	2014	9	10	epub date		Preclinical	Using preclinical thyroid cancer models to look at Lenvatinib
18	"Goodman, A.M., et al. Tumor Mutational Burden as an Independent Predictor of Response to Immunotherapy in Diverse Cancers. Molecular cancer therapeutics 16, 2598-2608 (2017)."	2017	8	23	epub date		Clinical trial	151 patients received foundation sequencing and were treated with IO
19	"Zhen, J.T., et al. Genetic testing for hereditary prostate cancer: Current status and limitations. Cancer (2018)."	2018	4	18	epub date		Clinical trial	"review, need to look at the usage. [Update] this is focused for olaparib for ATM or BRCA1/2 mutated metastatic, castration-resistant prostate cancers. The abstract says that it is approved but that is not the case. It was approved in 2016 for a breakthrough award with the FDA but it is not currently in the drug label. I will leave it as a clinical trial."
20	"Itano, O., et al. Sulindac effects on inflammation and tumorigenesis in the intestine of mice with Apc and Mlh1 mutations. Carcinogenesis 30, 1923-1926 (2009)."	2009	9	15	epub date		Preclinical	mouse model
21	"Giardiello, F.M., et al. Primary chemoprevention of familial adenomatous polyposis with sulindac. The New England journal of medicine 346, 1054-1059 (2002)."	2002	4	4	pub date		Clinical trial	"Randomized, double blind, placebo-controlled study of 41 young subjects. No NCT code though."
22	"Gounder, M.M., Solit, D.B. & Tap, W.D. Trametinib in Histiocytic Sarcoma with an Activating MAP2K1 (MEK1) Mutation. The New England journal of medicine 378, 1945-1947 (2018)."	2018	5	17	pub date		Clinical evidence	Case report of patient with histiocytic sarcoma with an activating mutation in MAP2K1 that observed a response to trametinib.
23	"Janku, F., Yap, T.A. & Meric-Bernstam, F. Targeting the PI3K pathway in cancer: are we making headway? Nature reviews. Clinical oncology 15, 273-291 (2018)."	2018	3	6	epub date		Clinical trial	"Review, Citation is used for everolimus for PI3K variants and the study cites that everolimus has been approved for clinical use. Table 3 is an excellent overview of therapies, variants that they target, disease contexts, and trials."
24	"Angevin, E., et al. Safety, tolerability and antitumour activity of LY2780301 (p70S6K/AKT inhibitor) in combination with gemcitabine in molecularly selected patients with advanced or metastatic cancer: a phase IB dose escalation study. European journal of cancer 83, 194-202 (2017)."	2017	7	24	epub date		Clinical trial	"50 patients in a non-randomised, open-label, dose escalation and dose expansion trial for LY2780301, an oral dual p70S6K/AKT inhibitor. Patients needed to have variants or amplifications in PI3K and PTEN inactivation.. "
25	"Machl, A., et al. M2698 is a potent dual-inhibitor of p70S6K and Akt that affects tumor growth in mouse models of cancer and crosses the blood-brain barrier. American journal of cancer research 6, 806-818 (2016)."	2016	3	15	epub date		Preclinical	Efficacy of dual p70S6K/Akt dual inhibition  hypothesized and tested in preclinical mice models. Dose dependent inhibition was observed in vitro and in vivo.
26	"Ma, H., et al. Targeting of Carbon Ion-Induced G2 Checkpoint Activation in Lung Cancer Cells Using Wee-1 Inhibitor MK-1775. Radiation research 184, 660-669 (2015)."	2015	12	8	epub date		Preclinical	Preclinical study checking Wee-1 inhibition and its effect on radiation.
27	"Osman, A.A., et al. Wee-1 kinase inhibition overcomes cisplatin resistance associated with high-risk TP53 mutations in head and neck cancer through mitotic arrest followed by senescence. Molecular cancer therapeutics 14, 608-619 (2015)."	2014	12	10	epub date		Preclinical	High risk p53 variants sensitize cells to cisplatin 
28	"Cantile, M., et al. Molecular detection and targeting of EWSR1 fusion transcripts in soft tissue tumors. Medical oncology 30, 412 (2013)."	2013	1	18	epub date		Clinical trial	"Review of EWSR1 fusions the review is cited for targeting EWSR1 with everolimus. They also gave ceritinib (ALK inhibitor) for IGFR. They cite that the fusion upregulates IGFR and the review cites that targeting IGFR has been successful with Ewing sarcoma patients. Based on cited study for the Ewing sarcoma, perhaps I will give clinical trial since it is a phase 1 expansion cohort study...?"
29	"Wilson, C., Nimick, M., Nehoff, H. & Ashton, J.C. ALK and IGF-1R as independent targets in crizotinib resistant lung cancer. Scientific reports 7, 13955 (2017)."	2017	10	24	pub date		Preclinical	Preclinical study in ALK+ cancer cells
30	"Huang, H.J., et al. R1507, an anti-insulin-like growth factor-1 receptor (IGF-1R) antibody, and EWS/FLI-1 siRNA in Ewing's sarcoma: convergence at the IGF/IGFR/Akt axis. PloS one 6, e26060 (2011)."	2011	10	11	epub date		Preclinical	Preclinical study of two Ewing sarcoma cell lines. Kurzrock is senior author.
31	"Kato, S., et al. Cyclin-dependent kinase pathway aberrations in diverse malignancies: clinical and molecular characteristics. Cell cycle 14, 1252-1259 (2015)."	2015	2	19	epub date		Clinical evidence	Clinical study based on foundation data
32	"Helsten, T., et al. Cell-Cycle Gene Alterations in 4,864 Tumors Analyzed by Next-Generation Sequencing: Implications for Targeted Therapeutics. Molecular cancer therapeutics 15, 1682-1690 (2016)."	2016	5	11	epub date		Inferential	"Review for targeted therapuetics for cell cycle genes. In both patients that used this citation, palbo was given for CDKN2A/B loss. The study cites palbo's approval for breast cancer but does not mention any studies with palbo for cell cycle genes. Due to this sentence at the end, I am leaning towards categorizing this as inferential. ""Further study will be required to elucidate the impact of each of the diverse cell-cycle pathway genes and their correlation to response with the various inhibitors being deployed in the clinic, including but not limited to palbociclib (PD0332991; ref. 16),"""
33	"Boon, E.M., et al. Sulindac targets nuclear beta-catenin accumulation and Wnt signalling in adenomas of patients with familial adenomatous polyposis and in human colorectal cancer cell lines. British journal of cancer 90, 224-229 (2004)."	2004	1	6	epub date		Preclinical	in vivo and in vitro evidence using sunlindac
34	"Koornstra, J.J., et al. Sulindac inhibits beta-catenin expression in normal-appearing colon of hereditary nonpolyposis colorectal cancer and familial adenomatous polyposis patients. Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology 14, 1608-1612 (2005)."	2005	7	1	no day		Clinical evidence	Tissue taken pre/post sunlindac treatment from patients
35	"Jacobsen, E., Shanmugam, V. & Jagannathan, J. Rosai-Dorfman Disease with Activating KRAS Mutation - Response to Cobimetinib. The New England journal of medicine 377, 2398-2399 (2017)."	2017	12	14	pub date		Clinical evidence	Case report of KRAS variant responding to cobimetinib
36	"Lee, M.S., et al. Efficacy of the combination of MEK and CDK4/6 inhibitors in vitro and in vivo in KRAS mutant colorectal cancer models. Oncotarget 7, 39595-39608 (2016)."	2016	5	4	pub date		Preclinical	Used KRAS mutant CRC cell lines
37	"Von Hoff, D.D., et al. Inhibition of the hedgehog pathway in advanced basal-cell carcinoma. The New England journal of medicine 361, 1164-1172 (2009)."	2009	9	17	pub date		Clinical trial	Phase 1 trial
38	"Zhao, S., Wang, Y., Cao, L., Ouellette, M.M. & Freeman, J.W. Expression of oncogenic K-ras and loss of Smad4 cooperate to induce the expression of EGFR and to promote invasion of immortalized human pancreas ductal cells. International journal of cancer. Journal international du cancer 127, 2076-2087 (2010)."	2010	11	1	pub date		Preclinical	Expression and knockdown study of pancreas ductal cell lines
39	"Liu, J., et al. ErbB2 Pathway Activation upon Smad4 Loss Promotes Lung Tumor Growth and Metastasis. Cell reports (2015)."	2015	3	5	epub date		Preclinical	Mouse model
40	"Mok, T.S., et al. Osimertinib or Platinum-Pemetrexed in EGFR T790M-Positive Lung Cancer. The New England journal of medicine 376, 629-640 (2017)."	2017	2	16	pub date		Clinical trial	phase 3 trial
41	"Nukaga, S., et al. Amplification of EGFR Wild-Type Alleles in Non-Small Cell Lung Cancer Cells Confers Acquired Resistance to Mutation-Selective EGFR Tyrosine Kinase Inhibitors. Cancer research 77, 2078-2089 (2017)."	2017	2	15	epub date		Preclinical	Study object were EGFR NSCLC cell lines
