feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ARID1A			
ASXL1			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BLM			
BRCA1			
BRCA2			
BRIP1			
CCND1			
CCND3			
CHEK1			
COL1A1			
CTLA4			
DNMT3B			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
ERCC2			
ETV6			
FAT1			
FGFR4			
FLT3			
GATA2			
GATA3			
GLI1			
HLA-A			
HLA-B		Amplification	
HNF1A			
IL7R			
KDR			
KMT2C			
MAP3K1			
MGA			
MLH3			
MSH2			
MTOR			
MYC			
NCOA3			
NOTCH2			
NTRK2			
PAK7			
PALB2			
PIK3R1			
PIK3R2			
PMS2			
PPP4R2			
PTPRS			
RAD51B			
RAD54L			
RET			
RICTOR			
RNF43			
ROS1			
RPTOR			
RUNX1			
SDHA			
SETD2			
SOX17			
TET1			
TMPRSS2			
TNFRSF14			
TP53			
