feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
CCND1			
CCND3			
CDKN1A			
CDKN1B			
CHEK1			
COL1A1			
CRLF2			
CTLA4			
DNMT3B			
EGFR			
EML4			
EP300			
EPCAM			
EPHA3			
ERBB2			
ERCC2			
FAT1			
FGFR4			
FOXA1			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL7R			
IRS2			
KMT2C			
KNSTRN			
MAP3K1			
MGA			
MLH1			
MLH3			
MSH2			
NCOA3			
NOTCH1			
PAK7			
PALB2			
PAX5			
PDGFRB			
PIK3CA			
PIK3R2			
PIM1			
PMS2			
POLE			
PPP4R2			
PRDM14			
PTEN		Deletion	
PTPRS			
PTPRT			
RAD51B			
RAD51D			
RB1		Deletion	
RET			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SETBP1			
SETD2			
SLC45A3			
STK19			
TACC3			
TCEB1		Amplification	
TCF3			
TET1			
TET2			
TNFRSF14			
TP53		Deletion	
TSC1			
TSC2			
