feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ASXL1			
ASXL2			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA2			
BRIP1			
CASP8			
CCND1			
CCND3			
CDKN1B			
CHEK1			
COL1A1			COL1A1
CUL3			
DIS3			
DNMT3A			
EML4			
EPHA3			
ERBB2			
ERBB3			
ERCC2			
ESRP1		Amplification	
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
HLA-A			
HNF1A			
IL12RB1			
IL7R			
IRS2			
JAK2			
KDR			
KMT2C			
KMT2D			
LIMK2			
MAP3K1			
MGA			
MLH1			
MLH3			
MSH6			
NOTCH1			
NOTCH2			
PAK1			
PAK7			
PIK3CA			
PIK3CD			
PIK3R2			
PMS2			
POLD1			
POLE			
PTPRS			
RAD51B			
RB1		Deletion	RB1
RICTOR			
RNF43			
ROS1			
SETBP1			
SETD2			
SMO			
TACC3			
TET1			
TET2			
TP53		Deletion	
TSC1			
