feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
ARID1B			
ASXL1			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BCR			
BLM			
BRCA2			
BRIP1			
CCND3		Amplification	
CDKN1B			
CDKN2A		Deletion	
CHEK1			
COL1A1			
CTLA4			
CUL3			
CYSLTR2			
DIS3			
DNMT3B			
EGFR			
EML4			
EPHA3			
FAT1			
FGFR2			
FGFR3			
FGFR4			
FLT3			
FOXA1			
GATA2			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IL7R			
KDR			
KMT2C			
KMT2D			
KNSTRN			
MAP2K4		Deletion	
MC1R			
MGA			
MLH3			
MSH6			
NF1		Deletion	
NOTCH2			
NTRK1			
PAK7			
PARP1			
PIK3R2			
PMS2			
PRDM14			
PREX2			
PTPRS			
RAD51B			
RAD51C			
RAD51D			
RARA		Deletion	
RET			
RICTOR			
RNF43			
ROS1			
RPS6KA4			
SETBP1			
SETD2			
STAT3		Deletion	
SUZ12		Deletion	
TACC3			
TET1			
TMPRSS2			TMPRSS2
TNFRSF14			
TP53			TP53
TSC1			
