	case	comparison	SNF: FDA & CGC
205208	MO_1410	case-profile	0.45653796132311153
204890	MO_1410	ACH-000360	0.9972893948896427
205047	MO_1410	ACH-000677	0.9973654336410486
205068	MO_1410	ACH-000720	0.9973673782666849
204795	MO_1410	ACH-000129	0.9973714582384988
204873	MO_1410	ACH-000330	0.9974794055334202
204977	MO_1410	ACH-000547	0.9974931496821393
205102	MO_1410	ACH-000792	0.9975024983564253
205052	MO_1410	ACH-000688	0.9975110826356484
204799	MO_1410	ACH-000142	0.9975141647023094
205021	MO_1410	ACH-000628	0.9975215280607077
204938	MO_1410	ACH-000463	0.9975227360654133
205147	MO_1410	ACH-000880	0.9975280553218959
205104	MO_1410	ACH-000798	0.9975296066851107
204929	MO_1410	ACH-000442	0.997532999037125
204976	MO_1410	ACH-000546	0.9975362466020503
204783	MO_1410	ACH-000102	0.9975439507225663
204820	MO_1410	ACH-000192	0.997554075677418
205158	MO_1410	ACH-000902	0.9975556503500844
204911	MO_1410	ACH-000408	0.9975628195454647
204940	MO_1410	ACH-000469	0.9975793126012016
204975	MO_1410	ACH-000545	0.9975831422442131
204802	MO_1410	ACH-000147	0.9975937563114006
204906	MO_1410	ACH-000396	0.99759714034669
204888	MO_1410	ACH-000358	0.9976005701221002
204792	MO_1410	ACH-000117	0.9976081894652267
204824	MO_1410	ACH-000207	0.9976090817181702
204762	MO_1410	ACH-000018	0.9976127243067872
204918	MO_1410	ACH-000425	0.9976127846133952
204968	MO_1410	ACH-000527	0.9976129036106085
204942	MO_1410	ACH-000472	0.9976131659799969
204882	MO_1410	ACH-000351	0.9976134593164796
205036	MO_1410	ACH-000662	0.9976149116538425
204840	MO_1410	ACH-000244	0.9976159157306029
204990	MO_1410	ACH-000570	0.9976180384041392
204963	MO_1410	ACH-000518	0.9976234068129609
204899	MO_1410	ACH-000383	0.9976247343044039
205050	MO_1410	ACH-000680	0.9976287704522895
204790	MO_1410	ACH-000115	0.997632144874485
204898	MO_1410	ACH-000381	0.9976327182237621
204973	MO_1410	ACH-000536	0.9976334234435937
205006	MO_1410	ACH-000603	0.9976357127260893
204852	MO_1410	ACH-000270	0.9976387784822787
204856	MO_1410	ACH-000288	0.9976435497997281
205113	MO_1410	ACH-000818	0.9976472869132273
205156	MO_1410	ACH-000894	0.9976523554495902
204812	MO_1410	ACH-000176	0.9976559633633929
205189	MO_1410	ACH-000989	0.9976645646097086
204793	MO_1410	ACH-000118	0.9976867033122141
205135	MO_1410	ACH-000859	0.9976911168571554
205192	MO_1410	ACH-001016	0.9976912578207872
204948	MO_1410	ACH-000483	0.9977118664681452
205071	MO_1410	ACH-000725	0.997714761240779
204756	MO_1410	ACH-000001	0.997715786213254
204988	MO_1410	ACH-000566	0.9977217318778488
204994	MO_1410	ACH-000577	0.9977260397260381
205112	MO_1410	ACH-000816	0.9977371100539235
204875	MO_1410	ACH-000335	0.9977426163202896
204879	MO_1410	ACH-000348	0.9977438408608436
204972	MO_1410	ACH-000535	0.997746052482254
205042	MO_1410	ACH-000669	0.9977468715651409
204941	MO_1410	ACH-000470	0.9977585806466344
205138	MO_1410	ACH-000863	0.9977701814375122
204989	MO_1410	ACH-000569	0.9977707417716674
204928	MO_1410	ACH-000441	0.997774539173649
205078	MO_1410	ACH-000743	0.9977758769455055
204944	MO_1410	ACH-000476	0.9977784474660362
205131	MO_1410	ACH-000853	0.9977885630587077
204965	MO_1410	ACH-000522	0.9977902773221259
205062	MO_1410	ACH-000711	0.9978139650564991
205205	MO_1410	ACH-001189	0.9978141658039053
204772	MO_1410	ACH-000062	0.9978220195850704
205199	MO_1410	ACH-001089	0.997841174718137
205141	MO_1410	ACH-000866	0.9978471440371978
205194	MO_1410	ACH-001023	0.997853489849922
204804	MO_1410	ACH-000149	0.9978541588952814
204845	MO_1410	ACH-000254	0.9978547135450953
205187	MO_1410	ACH-000985	0.9978570156598431
204974	MO_1410	ACH-000544	0.997863637097939
204905	MO_1410	ACH-000395	0.997865666270909
204884	MO_1410	ACH-000353	0.9978693070804924
204945	MO_1410	ACH-000480	0.9978722014204487
204773	MO_1410	ACH-000067	0.9978729505057263
204823	MO_1410	ACH-000201	0.9978744565320858
