patient_id	feature_display	tested_subfeature	therapy_name	n_mut	n_wt	n_mut_tested	n_wt_tested	mut_ic50_median	mut_ic50_mean	mut_ic50_std	wt_ic50_median	wt_ic50_mean	wt_ic50_std	pvalue_mww	statistic
MO_1410	PTEN Deletion	PTEN	AZD8186	293	1530	151	601	17.17	35.635	49.53	28.168	59.533	106.383	1.966e-05	55562.5
MO_1410	PTEN Deletion	PTEN Copy Number	AZD8186	129	1694	66	686	17.912	36.238	51.894	25.722	56.514	101.287	0.011	26919.5
MO_1410	PTEN Deletion	PTEN Copy Number Deletion	AZD8186	102	1721	53	699	16.492	33.28	44.634	25.33	56.361	100.838	0.012	22366.5
MO_1410	PIK3CA p.E545K (Missense)	PIK3CA	Pictilisib	290	1533	162	604	3.216	7.274	12.138	4.1	15.02	75.056	0.019	54787.0
MO_1410	PIK3CA p.E545K (Missense)	PIK3CA Somatic Variant	Pictilisib	161	1662	103	663	2.898	5.162	7.855	4.104	14.658	71.812	0.0	41486.5
MO_1410	PIK3CA p.E545K (Missense)	PIK3CA Somatic Variant Missense	Pictilisib	153	1670	98	668	2.907	5.109	7.933	4.1	14.595	71.548	0.001	39841.5
MO_1410	PIK3CA p.E545K (Missense)	PIK3CA Somatic Variant Missense p.E545K	Pictilisib	29	1794	17	749	1.792	2.724	2.711	3.87	13.623	67.679	0.005	8925.5
MO_1410	MET  (Splice Site)	MET	Crizotinib	199	1624	106	631	24.738	58.372	90.106	25.537	55.528	104.041	0.878	33754.0
MO_1410	MET  (Splice Site)	MET Somatic Variant	Crizotinib	88	1735	49	688	24.577	56.279	88.627	25.545	55.913	103.051	0.594	17625.0
MO_1410	MET  (Splice Site)	MET Somatic Variant Splice Site	Crizotinib	0	1823	0	737				25.427	55.937	102.102	nan	
