patient_id	feature_display	tested_subfeature	therapy_name	n_mut	n_wt	n_mut_tested	n_wt_tested	mut_ic50_median	mut_ic50_mean	mut_ic50_std	wt_ic50_median	wt_ic50_mean	wt_ic50_std	pvalue_mww	statistic
PROS01448-1115183	TMPRSS2--ERG Fusion	TMPRSS2	Rucaparib	95	1728	59	881	24.095	37.155	33.304	35.551	46.817	43.318	0.093	29377.0
PROS01448-1115183	TMPRSS2--ERG Fusion	ERG	Rucaparib	114	1709	72	868	30.195	37.386	30.442	35.672	46.942	43.61	0.167	34310.0
PROS01448-1115183	TMPRSS2--ERG Fusion	TMPRSS2 Fusions	Rucaparib	2	1821	1	939	64.3	64.3		34.998	46.191	42.827	0.382	232.0
PROS01448-1115183	TMPRSS2--ERG Fusion	ERG Fusions	Rucaparib	7	1816	6	934	42.35	38.998	23.018	35.036	46.257	42.909	0.99	2793.0
PROS01448-1115183	TMPRSS2--ERG Fusion	TMPRSS2--ERG	Rucaparib	2	1821	1	939	64.3	64.3		34.998	46.191	42.827	0.382	232.0
PROS01448-1115183	PTEN Deletion	PTEN	AZD8186	293	1530	151	601	17.17	35.635	49.53	28.168	59.533	106.383	1.966e-05	55562.5
PROS01448-1115183	PTEN Deletion	PTEN Copy Number	AZD8186	129	1694	66	686	17.912	36.238	51.894	25.722	56.514	101.287	0.011	26919.5
PROS01448-1115183	PTEN Deletion	PTEN Copy Number Deletion	AZD8186	102	1721	53	699	16.492	33.28	44.634	25.33	56.361	100.838	0.012	22366.5
PROS01448-1115183	COL3A1--COL1A1 Fusion	COL3A1	Imatinib	158	1665	35	372	18.581	22.431	12.82	18.18	21.179	16.309	0.314	5839.0
PROS01448-1115183	COL3A1--COL1A1 Fusion	COL1A1	Imatinib	130	1693	37	370	19.015	20.406	11.327	18.171	21.375	16.435	0.835	6702.0
PROS01448-1115183	COL3A1--COL1A1 Fusion	COL3A1 Fusions	Imatinib	1	1822	0	407				18.312	21.287	16.03	nan	
PROS01448-1115183	COL3A1--COL1A1 Fusion	COL1A1 Fusions	Imatinib	1	1822	0	407				18.312	21.287	16.03	nan	
PROS01448-1115183	COL3A1--COL1A1 Fusion	COL3A1--COL1A1	Imatinib	1	1822	0	407				18.312	21.287	16.03	nan	
PROS01448-1115183	TMPRSS2--ERG Fusion	TMPRSS2	Rucaparib	95	1728	59	881	24.095	37.155	33.304	35.551	46.817	43.318	0.093	29377.0
PROS01448-1115183	TMPRSS2--ERG Fusion	ERG	Rucaparib	114	1709	72	868	30.195	37.386	30.442	35.672	46.942	43.61	0.167	34310.0
PROS01448-1115183	TMPRSS2--ERG Fusion	TMPRSS2 Fusions	Rucaparib	2	1821	1	939	64.3	64.3		34.998	46.191	42.827	0.382	232.0
PROS01448-1115183	TMPRSS2--ERG Fusion	ERG Fusions	Rucaparib	7	1816	6	934	42.35	38.998	23.018	35.036	46.257	42.909	0.99	2793.0
PROS01448-1115183	TMPRSS2--ERG Fusion	TMPRSS2--ERG	Rucaparib	2	1821	1	939	64.3	64.3		34.998	46.191	42.827	0.382	232.0
