	case	comparison	SNF: FDA & CGC
205208	PROS10448-1115156	case-profile	0.45672263127824075
204767	PROS10448-1115156	ACH-000040	0.9973321052738924
204784	PROS10448-1115156	ACH-000103	0.9974930234842454
204974	PROS10448-1115156	ACH-000544	0.9975442820670309
204760	PROS10448-1115156	ACH-000012	0.9975575272187934
204861	PROS10448-1115156	ACH-000298	0.997558121024469
204790	PROS10448-1115156	ACH-000115	0.9975600334901286
204928	PROS10448-1115156	ACH-000441	0.9975676324293186
204783	PROS10448-1115156	ACH-000102	0.9975706795402198
204806	PROS10448-1115156	ACH-000155	0.9975723969043389
205041	PROS10448-1115156	ACH-000668	0.9975869402484082
204826	PROS10448-1115156	ACH-000211	0.9975936490289352
204922	PROS10448-1115156	ACH-000430	0.9976064584153689
204969	PROS10448-1115156	ACH-000528	0.9976168722694896
204867	PROS10448-1115156	ACH-000311	0.9976374461119657
205129	PROS10448-1115156	ACH-000849	0.9976480906499798
204866	PROS10448-1115156	ACH-000309	0.9976503202559485
204906	PROS10448-1115156	ACH-000396	0.997672472804134
204771	PROS10448-1115156	ACH-000055	0.9976735595954208
205162	PROS10448-1115156	ACH-000911	0.9976737678051697
204894	PROS10448-1115156	ACH-000374	0.9976751426626856
204833	PROS10448-1115156	ACH-000228	0.9976790622850545
205156	PROS10448-1115156	ACH-000894	0.997685174104369
205002	PROS10448-1115156	ACH-000595	0.9976882326239042
204772	PROS10448-1115156	ACH-000062	0.9976937412560661
204956	PROS10448-1115156	ACH-000504	0.99769701172304
205035	PROS10448-1115156	ACH-000657	0.9977006378122204
205062	PROS10448-1115156	ACH-000711	0.9977040718256266
204770	PROS10448-1115156	ACH-000052	0.9977057283482006
205182	PROS10448-1115156	ACH-000968	0.9977063002965223
204810	PROS10448-1115156	ACH-000171	0.9977131330816997
204776	PROS10448-1115156	ACH-000082	0.9977209123737487
204962	PROS10448-1115156	ACH-000516	0.9977283633969778
204824	PROS10448-1115156	ACH-000207	0.9977470412449568
204791	PROS10448-1115156	ACH-000116	0.9977631570097556
205018	PROS10448-1115156	ACH-000624	0.9977657796583643
204820	PROS10448-1115156	ACH-000192	0.9977738629086341
204933	PROS10448-1115156	ACH-000449	0.9977746647320838
204795	PROS10448-1115156	ACH-000129	0.997783812279635
205192	PROS10448-1115156	ACH-001016	0.9977868384347663
204847	PROS10448-1115156	ACH-000258	0.9977984573991537
205005	PROS10448-1115156	ACH-000601	0.9978050350175125
204895	PROS10448-1115156	ACH-000376	0.9978077168776729
204796	PROS10448-1115156	ACH-000132	0.9978087427061867
204949	PROS10448-1115156	ACH-000484	0.9978160053112752
204785	PROS10448-1115156	ACH-000107	0.9978172012422494
204972	PROS10448-1115156	ACH-000535	0.9978179585519457
204843	PROS10448-1115156	ACH-000250	0.9978198431418083
204965	PROS10448-1115156	ACH-000522	0.997820881530399
204950	PROS10448-1115156	ACH-000486	0.9978212647287988
204886	PROS10448-1115156	ACH-000355	0.9978262140543707
204875	PROS10448-1115156	ACH-000335	0.9978284783884634
204896	PROS10448-1115156	ACH-000378	0.9978288541513373
204904	PROS10448-1115156	ACH-000394	0.9978299486825027
205201	PROS10448-1115156	ACH-001125	0.9978313828657576
204756	PROS10448-1115156	ACH-000001	0.9978326481164898
204947	PROS10448-1115156	ACH-000482	0.9978332079208904
204913	PROS10448-1115156	ACH-000417	0.9978343443710064
204831	PROS10448-1115156	ACH-000223	0.9978365714467752
205095	PROS10448-1115156	ACH-000781	0.9978373124714188
204989	PROS10448-1115156	ACH-000569	0.9978373283806863
204970	PROS10448-1115156	ACH-000530	0.9978377813635759
204914	PROS10448-1115156	ACH-000420	0.9978383990540151
204762	PROS10448-1115156	ACH-000018	0.9978389041055211
204823	PROS10448-1115156	ACH-000201	0.9978390446371662
204817	PROS10448-1115156	ACH-000188	0.9978393722383776
204936	PROS10448-1115156	ACH-000452	0.9978418938326926
205112	PROS10448-1115156	ACH-000816	0.9978421987495228
204798	PROS10448-1115156	ACH-000139	0.9978427333768635
205064	PROS10448-1115156	ACH-000716	0.9978431148799461
205079	PROS10448-1115156	ACH-000744	0.9978448577055016
204990	PROS10448-1115156	ACH-000570	0.9978466269646538
205090	PROS10448-1115156	ACH-000772	0.9978472566155577
204774	PROS10448-1115156	ACH-000075	0.997847962551556
205109	PROS10448-1115156	ACH-000810	0.9978483233162613
205121	PROS10448-1115156	ACH-000830	0.9978483768494848
204993	PROS10448-1115156	ACH-000574	0.9978485674962089
205004	PROS10448-1115156	ACH-000599	0.9978486623125203
204921	PROS10448-1115156	ACH-000429	0.9978493020874619
204944	PROS10448-1115156	ACH-000476	0.9978494090276752
205098	PROS10448-1115156	ACH-000787	0.9978499014472108
205051	PROS10448-1115156	ACH-000681	0.997849972014184
204971	PROS10448-1115156	ACH-000532	0.9978506747157787
204813	PROS10448-1115156	ACH-000178	0.9978513871371142
204859	PROS10448-1115156	ACH-000292	0.997851751167809
205088	PROS10448-1115156	ACH-000767	0.9978518386497713
204924	PROS10448-1115156	ACH-000433	0.9978519571759952
204884	PROS10448-1115156	ACH-000353	0.9978519615398749
204834	PROS10448-1115156	ACH-000231	0.9978525598749372
205009	PROS10448-1115156	ACH-000610	0.9978531291148983
205117	PROS10448-1115156	ACH-000825	0.9978533002024408
204805	PROS10448-1115156	ACH-000153	0.997853312947137
204937	PROS10448-1115156	ACH-000457	0.9978536724619731
204789	PROS10448-1115156	ACH-000114	0.9978538748380745
205151	PROS10448-1115156	ACH-000886	0.9978544641185783
205093	PROS10448-1115156	ACH-000778	0.9978549512593518
205123	PROS10448-1115156	ACH-000840	0.9978551270851689
204856	PROS10448-1115156	ACH-000288	0.9978558995648548
204945	PROS10448-1115156	ACH-000480	0.9978560024065397
205077	PROS10448-1115156	ACH-000740	0.9978561320404502
205001	PROS10448-1115156	ACH-000589	0.9978565148974765
204844	PROS10448-1115156	ACH-000252	0.9978567759773534
205015	PROS10448-1115156	ACH-000620	0.9978582017702736
204991	PROS10448-1115156	ACH-000571	0.9978582649709871
204957	PROS10448-1115156	ACH-000506	0.997858340022122
204872	PROS10448-1115156	ACH-000329	0.99785863787253
204830	PROS10448-1115156	ACH-000222	0.9978586468892168
205065	PROS10448-1115156	ACH-000717	0.9978596020845613
204908	PROS10448-1115156	ACH-000400	0.9978605487749094
205197	PROS10448-1115156	ACH-001049	0.9978607359193684
204757	PROS10448-1115156	ACH-000007	0.9978607790360703
204807	PROS10448-1115156	ACH-000159	0.9978607794707537
204891	PROS10448-1115156	ACH-000361	0.9978626465031133
204941	PROS10448-1115156	ACH-000470	0.9978627672959841
204835	PROS10448-1115156	ACH-000235	0.9978633546398039
205094	PROS10448-1115156	ACH-000780	0.9978634173525596
205025	PROS10448-1115156	ACH-000638	0.9978634434109168
204932	PROS10448-1115156	ACH-000448	0.9978635320035385
205023	PROS10448-1115156	ACH-000633	0.9978636339338837
204952	PROS10448-1115156	ACH-000489	0.9978637960217247
204779	PROS10448-1115156	ACH-000094	0.9978644410240445
205105	PROS10448-1115156	ACH-000800	0.9978649848560409
204955	PROS10448-1115156	ACH-000501	0.9978653584107144
205008	PROS10448-1115156	ACH-000609	0.9978654179314531
204860	PROS10448-1115156	ACH-000293	0.9978654664129389
205056	PROS10448-1115156	ACH-000696	0.9978655929872865
205137	PROS10448-1115156	ACH-000861	0.9978657756221624
205033	PROS10448-1115156	ACH-000652	0.9978660187545123
205134	PROS10448-1115156	ACH-000858	0.9978660861864472
204880	PROS10448-1115156	ACH-000349	0.997866134306307
204954	PROS10448-1115156	ACH-000496	0.9978662456336369
205118	PROS10448-1115156	ACH-000826	0.9978662833905958
205046	PROS10448-1115156	ACH-000675	0.9978665727588121
204881	PROS10448-1115156	ACH-000350	0.9978670032401774
205089	PROS10448-1115156	ACH-000769	0.9978671147756482
205139	PROS10448-1115156	ACH-000864	0.9978676121970501
205124	PROS10448-1115156	ACH-000841	0.9978679245120176
205078	PROS10448-1115156	ACH-000743	0.9978685347664993
205130	PROS10448-1115156	ACH-000852	0.9978695003285192
204777	PROS10448-1115156	ACH-000087	0.9978698466762127
204915	PROS10448-1115156	ACH-000421	0.9978704306082176
204792	PROS10448-1115156	ACH-000117	0.997871693391733
204765	PROS10448-1115156	ACH-000030	0.9978725755445389
205141	PROS10448-1115156	ACH-000866	0.9978756443612498
204797	PROS10448-1115156	ACH-000138	0.9978770345797221
204938	PROS10448-1115156	ACH-000463	0.9978800554888385
204787	PROS10448-1115156	ACH-000109	0.9978826382042897
205122	PROS10448-1115156	ACH-000835	0.9978840892113428
204786	PROS10448-1115156	ACH-000108	0.9978847089000107
204966	PROS10448-1115156	ACH-000524	0.9978847676730269
204808	PROS10448-1115156	ACH-000161	0.9978852888701717
204858	PROS10448-1115156	ACH-000291	0.9978860649971493
205082	PROS10448-1115156	ACH-000749	0.9978864776601274
204845	PROS10448-1115156	ACH-000254	0.997887342172702
204903	PROS10448-1115156	ACH-000392	0.9978877403160988
205070	PROS10448-1115156	ACH-000724	0.9978883093426966
204999	PROS10448-1115156	ACH-000586	0.9978900967733509
204929	PROS10448-1115156	ACH-000442	0.9978909553141323
204773	PROS10448-1115156	ACH-000067	0.9978917276179086
204801	PROS10448-1115156	ACH-000145	0.9978919410165862
205052	PROS10448-1115156	ACH-000688	0.9978952220633723
204799	PROS10448-1115156	ACH-000142	0.9978955989538788
204828	PROS10448-1115156	ACH-000217	0.9978964055411946
204960	PROS10448-1115156	ACH-000514	0.9978982199660709
205080	PROS10448-1115156	ACH-000747	0.9978987395863637
204811	PROS10448-1115156	ACH-000174	0.9978996554318609
204876	PROS10448-1115156	ACH-000341	0.9978999300272098
204842	PROS10448-1115156	ACH-000249	0.9979018760497338
205037	PROS10448-1115156	ACH-000663	0.9979018963082815
205190	PROS10448-1115156	ACH-000991	0.9979020933475838
204948	PROS10448-1115156	ACH-000483	0.99790282407579
204846	PROS10448-1115156	ACH-000257	0.9979033467196786
204864	PROS10448-1115156	ACH-000305	0.9979036633593743
205081	PROS10448-1115156	ACH-000748	0.9979036823082554
205158	PROS10448-1115156	ACH-000902	0.9979041631951133
205043	PROS10448-1115156	ACH-000670	0.9979044030177102
204909	PROS10448-1115156	ACH-000401	0.9979048337604389
204885	PROS10448-1115156	ACH-000354	0.9979049625497153
204902	PROS10448-1115156	ACH-000391	0.9979049932654197
205177	PROS10448-1115156	ACH-000955	0.997905277434622
205096	PROS10448-1115156	ACH-000783	0.9979052805401685
204812	PROS10448-1115156	ACH-000176	0.9979055776409167
204911	PROS10448-1115156	ACH-000408	0.9979060643093862
205128	PROS10448-1115156	ACH-000848	0.9979067616466188
204809	PROS10448-1115156	ACH-000169	0.9979068710946779
204788	PROS10448-1115156	ACH-000111	0.9979072100250123
205104	PROS10448-1115156	ACH-000798	0.997907292929767
205030	PROS10448-1115156	ACH-000648	0.9979076821664522
204879	PROS10448-1115156	ACH-000348	0.9979085011441313
205198	PROS10448-1115156	ACH-001065	0.9979094116064504
205042	PROS10448-1115156	ACH-000669	0.9979099048011281
204781	PROS10448-1115156	ACH-000099	0.9979099322588453
205148	PROS10448-1115156	ACH-000881	0.9979100505979833
204976	PROS10448-1115156	ACH-000546	0.9979106154926737
205057	PROS10448-1115156	ACH-000698	0.997910820003442
205202	PROS10448-1115156	ACH-001126	0.9979117226714881
205017	PROS10448-1115156	ACH-000622	0.997913268673424
205131	PROS10448-1115156	ACH-000853	0.9979132725863319
205061	PROS10448-1115156	ACH-000706	0.997913286614281
204850	PROS10448-1115156	ACH-000265	0.9979138280395246
204877	PROS10448-1115156	ACH-000343	0.9979141111173092
204758	PROS10448-1115156	ACH-000008	0.9979146529251899
205014	PROS10448-1115156	ACH-000617	0.997915423774718
205044	PROS10448-1115156	ACH-000672	0.9979154884264941
205007	PROS10448-1115156	ACH-000605	0.9979158737685992
205175	PROS10448-1115156	ACH-000949	0.9979162907482416
204918	PROS10448-1115156	ACH-000425	0.9979165156624011
205191	PROS10448-1115156	ACH-000998	0.9979165354516696
205039	PROS10448-1115156	ACH-000666	0.9979169039350458
205133	PROS10448-1115156	ACH-000857	0.9979171416680677
205003	PROS10448-1115156	ACH-000596	0.9979172194965571
204910	PROS10448-1115156	ACH-000403	0.9979177062856388
204988	PROS10448-1115156	ACH-000566	0.9979179961053145
