	case	comparison	SNF: FDA & CGC
205208	PROS12319B-SU2C-06115121	case-profile	0.4567308979433944
205013	PROS12319B-SU2C-06115121	ACH-000616	0.9973900757679148
204834	PROS12319B-SU2C-06115121	ACH-000231	0.9974815674253547
204948	PROS12319B-SU2C-06115121	ACH-000483	0.9975307322256359
204947	PROS12319B-SU2C-06115121	ACH-000482	0.997541910081849
204915	PROS12319B-SU2C-06115121	ACH-000421	0.9975499530045715
204823	PROS12319B-SU2C-06115121	ACH-000201	0.9975617681824047
204758	PROS12319B-SU2C-06115121	ACH-000008	0.9975740576229813
204908	PROS12319B-SU2C-06115121	ACH-000400	0.9975743032592063
204878	PROS12319B-SU2C-06115121	ACH-000347	0.9976053052771768
204850	PROS12319B-SU2C-06115121	ACH-000265	0.9976113630981049
204842	PROS12319B-SU2C-06115121	ACH-000249	0.9976122673525782
205104	PROS12319B-SU2C-06115121	ACH-000798	0.9976265517786789
204903	PROS12319B-SU2C-06115121	ACH-000392	0.9976271865888842
204827	PROS12319B-SU2C-06115121	ACH-000212	0.9976440163794649
204782	PROS12319B-SU2C-06115121	ACH-000100	0.9976477258067962
204820	PROS12319B-SU2C-06115121	ACH-000192	0.9976504573770834
204761	PROS12319B-SU2C-06115121	ACH-000015	0.9976516124896345
205183	PROS12319B-SU2C-06115121	ACH-000970	0.9976580552398343
204819	PROS12319B-SU2C-06115121	ACH-000191	0.9976699261520535
204988	PROS12319B-SU2C-06115121	ACH-000566	0.9976715931361787
204798	PROS12319B-SU2C-06115121	ACH-000139	0.9976779029865086
204894	PROS12319B-SU2C-06115121	ACH-000374	0.9976797859931786
204763	PROS12319B-SU2C-06115121	ACH-000021	0.9976919185529415
205151	PROS12319B-SU2C-06115121	ACH-000886	0.9976984547157481
205168	PROS12319B-SU2C-06115121	ACH-000926	0.9976996887766435
204766	PROS12319B-SU2C-06115121	ACH-000035	0.9977044972429487
205093	PROS12319B-SU2C-06115121	ACH-000778	0.9977057120294056
204776	PROS12319B-SU2C-06115121	ACH-000082	0.9977129397449748
204979	PROS12319B-SU2C-06115121	ACH-000552	0.9977357353625794
204929	PROS12319B-SU2C-06115121	ACH-000442	0.9977479710006013
205158	PROS12319B-SU2C-06115121	ACH-000902	0.9977670994807913
204934	PROS12319B-SU2C-06115121	ACH-000450	0.9977693469500494
204983	PROS12319B-SU2C-06115121	ACH-000560	0.9977778755481074
205200	PROS12319B-SU2C-06115121	ACH-001090	0.9977823822125507
204892	PROS12319B-SU2C-06115121	ACH-000364	0.997785710647836
204952	PROS12319B-SU2C-06115121	ACH-000489	0.9977868585766058
204844	PROS12319B-SU2C-06115121	ACH-000252	0.9977966793800618
204971	PROS12319B-SU2C-06115121	ACH-000532	0.9978012547553058
204860	PROS12319B-SU2C-06115121	ACH-000293	0.9978027607927951
205189	PROS12319B-SU2C-06115121	ACH-000989	0.9978040864423173
205056	PROS12319B-SU2C-06115121	ACH-000696	0.9978081827924966
205117	PROS12319B-SU2C-06115121	ACH-000825	0.9978109005711562
204848	PROS12319B-SU2C-06115121	ACH-000259	0.9978198352267388
204772	PROS12319B-SU2C-06115121	ACH-000062	0.9978202125697869
204989	PROS12319B-SU2C-06115121	ACH-000569	0.9978207076358789
204845	PROS12319B-SU2C-06115121	ACH-000254	0.9978221929979856
204817	PROS12319B-SU2C-06115121	ACH-000188	0.997823021254768
205089	PROS12319B-SU2C-06115121	ACH-000769	0.9978241018901882
204807	PROS12319B-SU2C-06115121	ACH-000159	0.9978241123938028
204914	PROS12319B-SU2C-06115121	ACH-000420	0.9978254946617873
204970	PROS12319B-SU2C-06115121	ACH-000530	0.9978256113808457
204941	PROS12319B-SU2C-06115121	ACH-000470	0.9978256232524096
204945	PROS12319B-SU2C-06115121	ACH-000480	0.9978258892914077
204965	PROS12319B-SU2C-06115121	ACH-000522	0.9978262659609084
204950	PROS12319B-SU2C-06115121	ACH-000486	0.9978275454332619
205025	PROS12319B-SU2C-06115121	ACH-000638	0.9978289732218676
205008	PROS12319B-SU2C-06115121	ACH-000609	0.997830265774926
204789	PROS12319B-SU2C-06115121	ACH-000114	0.997830456428309
204906	PROS12319B-SU2C-06115121	ACH-000396	0.9978329331284209
204783	PROS12319B-SU2C-06115121	ACH-000102	0.9978331190357613
204993	PROS12319B-SU2C-06115121	ACH-000574	0.9978332573265003
204875	PROS12319B-SU2C-06115121	ACH-000335	0.9978344595363667
204972	PROS12319B-SU2C-06115121	ACH-000535	0.9978355048962718
204896	PROS12319B-SU2C-06115121	ACH-000378	0.9978366280970071
204856	PROS12319B-SU2C-06115121	ACH-000288	0.9978368062124265
204913	PROS12319B-SU2C-06115121	ACH-000417	0.997836904206771
204762	PROS12319B-SU2C-06115121	ACH-000018	0.9978371180707133
204954	PROS12319B-SU2C-06115121	ACH-000496	0.9978374351831762
204895	PROS12319B-SU2C-06115121	ACH-000376	0.9978379279042023
205033	PROS12319B-SU2C-06115121	ACH-000652	0.9978383010833598
205123	PROS12319B-SU2C-06115121	ACH-000840	0.9978385303773109
204835	PROS12319B-SU2C-06115121	ACH-000235	0.997838592801144
205137	PROS12319B-SU2C-06115121	ACH-000861	0.9978387476928896
205088	PROS12319B-SU2C-06115121	ACH-000767	0.9978389063070966
204813	PROS12319B-SU2C-06115121	ACH-000178	0.9978394733610672
205118	PROS12319B-SU2C-06115121	ACH-000826	0.9978405314129463
204974	PROS12319B-SU2C-06115121	ACH-000544	0.9978408699250105
205077	PROS12319B-SU2C-06115121	ACH-000740	0.9978409803176681
205124	PROS12319B-SU2C-06115121	ACH-000841	0.9978414062613635
205015	PROS12319B-SU2C-06115121	ACH-000620	0.9978423779888301
204932	PROS12319B-SU2C-06115121	ACH-000448	0.9978427984880157
204836	PROS12319B-SU2C-06115121	ACH-000236	0.9978435610920563
204859	PROS12319B-SU2C-06115121	ACH-000292	0.9978448175656565
204924	PROS12319B-SU2C-06115121	ACH-000433	0.9978458415326319
204774	PROS12319B-SU2C-06115121	ACH-000075	0.9978461408336378
205023	PROS12319B-SU2C-06115121	ACH-000633	0.9978464636405958
204830	PROS12319B-SU2C-06115121	ACH-000222	0.9978470848089968
204949	PROS12319B-SU2C-06115121	ACH-000484	0.9978471566670242
205139	PROS12319B-SU2C-06115121	ACH-000864	0.9978473118976429
204805	PROS12319B-SU2C-06115121	ACH-000153	0.9978476927737763
205046	PROS12319B-SU2C-06115121	ACH-000675	0.9978478798468443
205009	PROS12319B-SU2C-06115121	ACH-000610	0.9978481325736462
204904	PROS12319B-SU2C-06115121	ACH-000394	0.9978483120797704
205004	PROS12319B-SU2C-06115121	ACH-000599	0.9978483856450306
205041	PROS12319B-SU2C-06115121	ACH-000668	0.9978488470167953
205064	PROS12319B-SU2C-06115121	ACH-000716	0.9978492137912515
204955	PROS12319B-SU2C-06115121	ACH-000501	0.9978494964049404
204843	PROS12319B-SU2C-06115121	ACH-000250	0.997849559271186
204921	PROS12319B-SU2C-06115121	ACH-000429	0.9978497931250324
204884	PROS12319B-SU2C-06115121	ACH-000353	0.9978499946269566
205197	PROS12319B-SU2C-06115121	ACH-001049	0.997850904100181
204944	PROS12319B-SU2C-06115121	ACH-000476	0.9978509806863123
204937	PROS12319B-SU2C-06115121	ACH-000457	0.9978520285988564
205095	PROS12319B-SU2C-06115121	ACH-000781	0.9978530260416208
204831	PROS12319B-SU2C-06115121	ACH-000223	0.9978531560527576
204779	PROS12319B-SU2C-06115121	ACH-000094	0.9978539594457018
205078	PROS12319B-SU2C-06115121	ACH-000743	0.997854156934914
204962	PROS12319B-SU2C-06115121	ACH-000516	0.9978542189769338
205112	PROS12319B-SU2C-06115121	ACH-000816	0.9978570455218724
204969	PROS12319B-SU2C-06115121	ACH-000528	0.9978573316711273
205105	PROS12319B-SU2C-06115121	ACH-000800	0.9978574691572997
205094	PROS12319B-SU2C-06115121	ACH-000780	0.9978580537160352
204847	PROS12319B-SU2C-06115121	ACH-000258	0.9978580998599758
204886	PROS12319B-SU2C-06115121	ACH-000355	0.9978582680019021
205051	PROS12319B-SU2C-06115121	ACH-000681	0.9978588429847289
204757	PROS12319B-SU2C-06115121	ACH-000007	0.9978591124131824
204784	PROS12319B-SU2C-06115121	ACH-000103	0.9978601000877377
204872	PROS12319B-SU2C-06115121	ACH-000329	0.9978602236559281
204957	PROS12319B-SU2C-06115121	ACH-000506	0.9978603616584734
204796	PROS12319B-SU2C-06115121	ACH-000132	0.9978607819817404
204922	PROS12319B-SU2C-06115121	ACH-000430	0.9978611058592498
205121	PROS12319B-SU2C-06115121	ACH-000830	0.9978613336433082
205098	PROS12319B-SU2C-06115121	ACH-000787	0.9978615172836743
205090	PROS12319B-SU2C-06115121	ACH-000772	0.9978619847483796
205130	PROS12319B-SU2C-06115121	ACH-000852	0.9978622162137708
204880	PROS12319B-SU2C-06115121	ACH-000349	0.9978623173812639
205134	PROS12319B-SU2C-06115121	ACH-000858	0.9978623559551968
204806	PROS12319B-SU2C-06115121	ACH-000155	0.9978626725536598
204866	PROS12319B-SU2C-06115121	ACH-000309	0.9978632779322019
205065	PROS12319B-SU2C-06115121	ACH-000717	0.9978637400182419
204936	PROS12319B-SU2C-06115121	ACH-000452	0.9978641560384546
204785	PROS12319B-SU2C-06115121	ACH-000107	0.9978649019267022
205001	PROS12319B-SU2C-06115121	ACH-000589	0.9978653416498726
205201	PROS12319B-SU2C-06115121	ACH-001125	0.9978664923830511
