feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR		Amplification	
ARID1A			
ASXL1			
ATM			
AURKA			
AURKB			
AXL			
BARD1			
BCR			
BRCA1			
BRCA2			
BRD4			
BRIP1			
CCND1			
CDKN1A			
CHEK1			
COL1A1			
CTLA4			
CUL3			
CYSLTR2			
DIS3			
DNMT3B			
EGFR			
EML4			
EPCAM			
EPHA3	Missense p.R512Q		
EPHA7			
ERBB2			
ERBB3			
ERCC2			
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
HLA-A			
HLA-B			
HNF1A			
IL12RB1			
IRS2		Deletion	
KDM6A			
KMT2C			
MAP3K1			
MC1R			
MED12			
MGA			
MLH3			
MSH2			
NOTCH2			
NTRK1			
PALB2			
PDGFRA			
PIK3R2			
PMS2			
PTPRS			
RAD51B			
RICTOR			
RNF43			
ROS1			
SETBP1			
TACC3			
TET1			
TMPRSS2			
TP53			
