feature	somatic_mutations	copy_number_alterations	fusions
ALK			
ANKRD11			
APC			
AR			
ASXL1			
ASXL2			
ATM			
ATRX			
AURKA			
AURKB			
AXL			
BCR			
BRCA2			
CASP8			
CCND1			
CCND3			
CDKN1B			
CHEK1			
COL1A1			
CTLA4			
CYSLTR2			
DIS3			
DNMT3B			
EGFR			
EML4			
EPCAM			
ERBB2			
ERCC2			
ERG			ERG
FAT1			
FGFR4			
FLT3			
FOXA1			
GLI1			
HGF			
HLA-A			
HLA-B			
HNF1A			
IGF1R			
IL12RB1			
IL7R			
KMT2C			
KNSTRN			
MAP3K1			
MC1R			
MED12		Amplification	
MET			
MGA			
MLH1			
MLH3			
MSH2			
MSH6			
NCOA3			
NFE2L2		Deletion	
NOTCH2			
PAK7			
PALB2			
PARP1			
PGR			
PIK3CA			
PIK3R2			
PMS2			
POLE			
PTPRS			
RAD51B			
RET			
RNF43			
ROS1			
SETBP1			
SETD2			
SMO			
TACC3			
TET1			
TMPRSS2			TMPRSS2
TNFRSF14			
TP53			
