	case	comparison	SNF: FDA & CGC
205208	SC_9062	case-profile	0.4563520374493788
204834	SC_9062	ACH-000231	0.997266240875205
204965	SC_9062	ACH-000522	0.9974949411282771
204767	SC_9062	ACH-000040	0.9974959490575315
205022	SC_9062	ACH-000631	0.997507636189407
205036	SC_9062	ACH-000662	0.9975249561102245
204774	SC_9062	ACH-000075	0.9975306934673606
204856	SC_9062	ACH-000288	0.9975577325524974
204884	SC_9062	ACH-000353	0.9975671081910653
204872	SC_9062	ACH-000329	0.9975913885020545
205189	SC_9062	ACH-000989	0.9976566212727782
204883	SC_9062	ACH-000352	0.9976638374970325
204773	SC_9062	ACH-000067	0.9976689142017071
204840	SC_9062	ACH-000244	0.9976806559037241
204783	SC_9062	ACH-000102	0.9976836112027458
205041	SC_9062	ACH-000668	0.997685256019485
204895	SC_9062	ACH-000376	0.9976853387179494
205077	SC_9062	ACH-000740	0.9976900238007229
204937	SC_9062	ACH-000457	0.9977010697703594
204807	SC_9062	ACH-000159	0.9977033453579808
204843	SC_9062	ACH-000250	0.9977051093039759
204765	SC_9062	ACH-000030	0.9977082265003672
205122	SC_9062	ACH-000835	0.997741703146533
204839	SC_9062	ACH-000243	0.9977606171127449
204934	SC_9062	ACH-000450	0.9977724313168083
204775	SC_9062	ACH-000078	0.9977794604257962
204901	SC_9062	ACH-000389	0.997784781508381
205005	SC_9062	ACH-000601	0.99779086170796
205204	SC_9062	ACH-001151	0.9977941418680677
204961	SC_9062	ACH-000515	0.9977995914214333
205008	SC_9062	ACH-000609	0.9978023762297521
205065	SC_9062	ACH-000717	0.9978110218282308
204772	SC_9062	ACH-000062	0.9978132191827366
204989	SC_9062	ACH-000569	0.9978146787225022
204945	SC_9062	ACH-000480	0.9978153248833787
204829	SC_9062	ACH-000219	0.9978173074227693
205127	SC_9062	ACH-000847	0.9978183088201465
204993	SC_9062	ACH-000574	0.997819062916911
204757	SC_9062	ACH-000007	0.997820482188715
204921	SC_9062	ACH-000429	0.9978230351239475
204762	SC_9062	ACH-000018	0.9978230566392329
205197	SC_9062	ACH-001049	0.9978243279104818
204914	SC_9062	ACH-000420	0.9978265184176761
205139	SC_9062	ACH-000864	0.9978266873461807
205051	SC_9062	ACH-000681	0.997828335700139
204972	SC_9062	ACH-000535	0.9978284157876013
204950	SC_9062	ACH-000486	0.9978285818177619
204823	SC_9062	ACH-000201	0.9978293177580313
204830	SC_9062	ACH-000222	0.9978310272927146
204859	SC_9062	ACH-000292	0.9978314629780197
