	case	comparison	SNF: FDA & CGC
205208	MEL-IPI_Pat123	case-profile	0.4579394420966656
204960	MEL-IPI_Pat123	ACH-000514	0.9975156229393303
204891	MEL-IPI_Pat123	ACH-000361	0.9975398079621091
204814	MEL-IPI_Pat123	ACH-000181	0.9975546500787641
205031	MEL-IPI_Pat123	ACH-000650	0.9975569744613693
204863	MEL-IPI_Pat123	ACH-000304	0.9975652805915902
205020	MEL-IPI_Pat123	ACH-000627	0.9975660765298161
205149	MEL-IPI_Pat123	ACH-000882	0.9975822938772119
205100	MEL-IPI_Pat123	ACH-000789	0.9975858840414493
205106	MEL-IPI_Pat123	ACH-000802	0.9975973680483124
205027	MEL-IPI_Pat123	ACH-000640	0.9976009455906485
205168	MEL-IPI_Pat123	ACH-000926	0.9976179272309078
205145	MEL-IPI_Pat123	ACH-000873	0.9976183899575478
205110	MEL-IPI_Pat123	ACH-000811	0.9976400589024486
205172	MEL-IPI_Pat123	ACH-000940	0.997660903549467
204925	MEL-IPI_Pat123	ACH-000434	0.9976628164619117
205117	MEL-IPI_Pat123	ACH-000825	0.9976745477640783
204906	MEL-IPI_Pat123	ACH-000396	0.9976791738143587
204861	MEL-IPI_Pat123	ACH-000298	0.9976811642926101
204759	MEL-IPI_Pat123	ACH-000009	0.9976859932215811
205174	MEL-IPI_Pat123	ACH-000947	0.997691853563528
205163	MEL-IPI_Pat123	ACH-000915	0.9976920353384185
204782	MEL-IPI_Pat123	ACH-000100	0.9976931136143694
205075	MEL-IPI_Pat123	ACH-000733	0.9976949876154567
204929	MEL-IPI_Pat123	ACH-000442	0.9976996106568218
205205	MEL-IPI_Pat123	ACH-001189	0.9977024481640647
204986	MEL-IPI_Pat123	ACH-000563	0.9977037947061332
204828	MEL-IPI_Pat123	ACH-000217	0.9977126424216254
204767	MEL-IPI_Pat123	ACH-000040	0.9977142860668354
204829	MEL-IPI_Pat123	ACH-000219	0.9977250608875362
205189	MEL-IPI_Pat123	ACH-000989	0.9977259760062126
204909	MEL-IPI_Pat123	ACH-000401	0.9977305348747144
204808	MEL-IPI_Pat123	ACH-000161	0.9977443474091363
205022	MEL-IPI_Pat123	ACH-000631	0.9977493575402246
204822	MEL-IPI_Pat123	ACH-000200	0.9977502498289652
204775	MEL-IPI_Pat123	ACH-000078	0.9977512023679933
204893	MEL-IPI_Pat123	ACH-000366	0.9977519902525464
205203	MEL-IPI_Pat123	ACH-001138	0.9977540401649121
204823	MEL-IPI_Pat123	ACH-000201	0.9977549598565919
205073	MEL-IPI_Pat123	ACH-000729	0.9977600437993629
204989	MEL-IPI_Pat123	ACH-000569	0.9977641869848688
205125	MEL-IPI_Pat123	ACH-000843	0.9977678762044613
205150	MEL-IPI_Pat123	ACH-000883	0.9977681962306025
204982	MEL-IPI_Pat123	ACH-000559	0.9977723421965795
205146	MEL-IPI_Pat123	ACH-000878	0.9977723831526004
204851	MEL-IPI_Pat123	ACH-000269	0.9977735349923457
205003	MEL-IPI_Pat123	ACH-000596	0.9977766003759406
205076	MEL-IPI_Pat123	ACH-000738	0.9977784904664071
205160	MEL-IPI_Pat123	ACH-000906	0.9977785685979806
204855	MEL-IPI_Pat123	ACH-000282	0.9977812382144422
204815	MEL-IPI_Pat123	ACH-000186	0.9977824479238363
205018	MEL-IPI_Pat123	ACH-000624	0.9977849172719809
204948	MEL-IPI_Pat123	ACH-000483	0.9977855985960388
205096	MEL-IPI_Pat123	ACH-000783	0.9977856642440582
205086	MEL-IPI_Pat123	ACH-000759	0.9977858244930496
204791	MEL-IPI_Pat123	ACH-000116	0.9977884239851262
204783	MEL-IPI_Pat123	ACH-000102	0.9977893043081598
204786	MEL-IPI_Pat123	ACH-000108	0.9977898673949401
204801	MEL-IPI_Pat123	ACH-000145	0.997791336476762
205132	MEL-IPI_Pat123	ACH-000855	0.9977916530648424
204901	MEL-IPI_Pat123	ACH-000389	0.9977918296073421
205013	MEL-IPI_Pat123	ACH-000616	0.9977967224017297
205061	MEL-IPI_Pat123	ACH-000706	0.9977973794676228
205122	MEL-IPI_Pat123	ACH-000835	0.9977974243964242
204883	MEL-IPI_Pat123	ACH-000352	0.9977978575584798
204878	MEL-IPI_Pat123	ACH-000347	0.9978004427663287
204912	MEL-IPI_Pat123	ACH-000416	0.9978008282571844
205055	MEL-IPI_Pat123	ACH-000693	0.9978010488893704
205037	MEL-IPI_Pat123	ACH-000663	0.9978020591250196
204935	MEL-IPI_Pat123	ACH-000451	0.9978025670070563
204761	MEL-IPI_Pat123	ACH-000015	0.9978028906622521
204907	MEL-IPI_Pat123	ACH-000399	0.9978039784695039
205066	MEL-IPI_Pat123	ACH-000718	0.9978040034151828
205005	MEL-IPI_Pat123	ACH-000601	0.997804542471557
