patient_id	feature_display	tested_subfeature	therapy_name	n_mut	n_wt	n_mut_tested	n_wt_tested	mut_ic50_median	mut_ic50_mean	mut_ic50_std	wt_ic50_median	wt_ic50_mean	wt_ic50_std	pvalue_mww	statistic
KIRP-2Z-A9JJ	EML4--ALK Fusion	EML4	Crizotinib	93	1730	54	683	14.709	48.576	68.848	26.084	56.519	104.294	0.198	20380.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	ALK	Crizotinib	182	1641	99	638	16.984	56.33	161.143	27.067	55.876	89.722	0.011	36623.5
KIRP-2Z-A9JJ	EML4--ALK Fusion	EML4 Fusions	Crizotinib	5	1818	3	734	1.5	34.609	58.287	25.482	56.024	102.256	0.253	1522.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	ALK Fusions	Crizotinib	10	1813	7	730	0.272	0.727	0.958	25.748	56.466	102.447	1.340e-05	4996.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	EML4--ALK	Crizotinib	2	1821	2	735	0.958	0.958	0.766	25.537	56.087	102.201	0.023	1419.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	EML4	Crizotinib	93	1730	54	683	14.709	48.576	68.848	26.084	56.519	104.294	0.198	20380.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	ALK	Crizotinib	182	1641	99	638	16.984	56.33	161.143	27.067	55.876	89.722	0.011	36623.5
KIRP-2Z-A9JJ	EML4--ALK Fusion	EML4 Fusions	Crizotinib	5	1818	3	734	1.5	34.609	58.287	25.482	56.024	102.256	0.253	1522.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	ALK Fusions	Crizotinib	10	1813	7	730	0.272	0.727	0.958	25.748	56.466	102.447	1.340e-05	4996.0
KIRP-2Z-A9JJ	EML4--ALK Fusion	EML4--ALK	Crizotinib	2	1821	2	735	0.958	0.958	0.766	25.537	56.087	102.201	0.023	1419.0
